,fielder,fielderpresumoverall2008,fielderpresumoverall2009,fielderpresumoverall2010,fielderpresumoverall2011,fielderpresumoverall2012,fielderpresumoverall2013,fielderpresumoverall2014,fielderpresumoverall2015,fielderpresumoverall2016
356,Y Gnaneswara Rao,0,0,0,140,140,140,140,140,140
357,Mohammad Ashraful,0,140,140,140,140,140,140,140,140
358,Salman Butt,140,140,140,140,140,140,140,140,140
359,Mustafizur Rahman,0,0,0,0,0,0,0,0,140
360,Kuldeep Yadav,0,0,0,0,0,0,0,0,120
361,RG More,0,0,0,0,0,0,0,120,120
362,RJ Peterson,0,0,0,0,120,120,120,120,120
363,F Behardien,0,0,0,0,0,0,0,0,120
364,AF Milne,0,0,0,0,0,0,0,0,120
365,Mashrafe Mortaza,0,120,120,120,120,120,120,120,120
366,K Santokie,0,0,0,0,0,0,120,120,120
367,T Taibu,120,120,120,120,120,120,120,120,120
368,D Kalyankrishna,120,120,120,120,120,120,120,120,120
369,RR Sarwan,120,120,120,120,120,120,120,120,120
370,R Ninan,0,0,0,120,120,120,120,120,120
371,SM Harwood,0,120,120,120,120,120,120,120,120
372,Sunny Singh,0,0,0,120,120,120,120,120,120
373,UA Birla,0,0,0,0,0,120,120,120,120
374,MJ Clarke,0,0,0,0,120,120,120,120,120
375,Misbah-ul-Haq,120,120,120,120,120,120,120,120,120
376,Umar Gul,120,120,120,120,120,120,120,120,120
377,AN Ghosh,0,120,120,120,120,120,120,120,120
378,S Vidyut,120,120,120,120,120,120,120,120,120
379,NL McCullum,0,0,0,120,120,120,120,120,120
380,JM Kemp,0,0,120,120,120,120,120,120,120
381,DL Chahar,0,0,0,0,0,0,0,0,120
382,Ishan Kishan,0,0,0,0,0,0,0,0,120
383,R Bishnoi,0,120,120,120,120,120,120,120,120
384,UT Khawaja,0,0,0,0,0,0,0,0,120
385,Younis Khan,120,120,120,120,120,120,120,120,120
386,KAJ Roach,0,0,120,120,120,120,120,120,120
387,RR Bhatkal,0,0,0,0,120,120,120,120,120
388,CA Ingram,0,0,0,100,100,100,100,100,100
389,GR Napier,0,100,100,100,100,100,100,100,100
390,D du Preez,0,100,100,100,100,100,100,100,100
391,J Arunkumar,100,100,100,100,100,100,100,100,100
392,MP Stoinis,0,0,0,0,0,0,0,0,100
393,C Nanda,0,100,100,100,100,100,100,100,100
394,TP Sudhindra,0,0,0,0,100,100,100,100,100
395,AB Barath,0,0,100,100,100,100,100,100,100
396,DJ Muthuswami,0,0,0,0,0,0,0,100,100
397,N Rana,0,0,0,0,0,0,0,0,100
398,P Sahu,0,0,0,0,0,0,0,0,100
399,CJ McKay,0,0,0,0,100,100,100,100,100
400,VS Yeligati,100,100,100,100,100,100,100,100,100
401,RA Shaikh,0,100,100,100,100,100,100,100,100
402,SE Bond,0,0,100,100,100,100,100,100,100
403,TM Head,0,0,0,0,0,0,0,0,100
404,RW Price,0,0,0,100,100,100,100,100,100
405,Swapnil Singh,0,0,0,0,0,0,0,0,100
406,A Nel,100,100,100,100,100,100,100,100,100
407,SB Joshi,100,100,100,100,100,100,100,100,100
408,B Laughlin,0,0,0,0,0,100,100,100,100
409,B Brainder Sran,0,0,0,0,0,0,0,100,100
410,KJ Abbott,0,0,0,0,0,0,0,0,100
411,H Das,100,100,100,100,100,100,100,100,100
412,MA Khote,100,100,100,100,100,100,100,100,100
413,JE Taylor,0,0,0,100,100,100,100,100,100
414,I Malhotra,0,0,0,100,100,100,100,100,100
415,Gagandeep Singh,100,100,100,100,100,100,100,100,100
416,T Henderson,0,100,100,100,100,100,100,100,100
417,SS Mundhe,0,0,0,100,100,100,100,100,100
418,A Zampa,0,0,0,0,0,0,0,0,100
419,RR Bose,0,100,100,100,100,100,100,100,100
420,AA Noffke,100,100,100,100,100,100,100,100,100
421,X Thalaivan Sargunam,0,0,0,0,0,100,100,100,100
422,MB Parmar,0,0,100,100,100,100,100,100,100
423,T Shamsi,0,0,0,0,0,0,0,0,100
424,AD Nath,0,0,0,0,0,0,0,0,100
425,V Pratap Singh,0,0,0,0,100,100,100,100,100
426,DNT Zoysa,100,100,100,100,100,100,100,100,100
427,MDKJ Perera,0,0,0,0,0,100,100,100,100
428,C Madan,0,0,100,100,100,100,100,100,100
429,S Chanderpaul,100,100,100,100,100,100,100,100,100
430,SN Thakur,0,0,0,0,0,0,0,100,100
431,AP Majumdar,0,0,0,0,100,100,100,100,100
432,DS Lehmann,100,100,100,100,100,100,100,100,100
433,AA Kazi,0,0,0,100,100,100,100,100,100
434,GS Sandhu,0,0,0,0,0,0,0,100,100
435,SS Sarkar,0,100,100,100,100,100,100,100,100
436,PSP Handscomb,0,0,0,0,0,0,0,0,100
437,A Uniyal,0,0,100,100,100,100,100,100,100
438,P Prasanth,0,0,0,100,100,100,100,100,100
439,M Ashwin,0,0,0,0,0,0,0,0,100
440,PM Sarvesh Kumar,100,100,100,100,100,100,100,100,100
441,DR Martyn,0,0,100,100,100,100,100,100,100
442,NJ Rimmington,0,0,0,100,100,100,100,100,100
443,Sandeep Sharma (1),0,0,0,0,0,100,100,100,100
444,MG Neser,0,0,0,0,0,100,100,100,100
445,RS Gavaskar,0,0,100,100,100,100,100,100,100
446,Shami Ahmed,0,0,0,0,0,100,100,100,100
447,BJ Haddin,0,0,0,100,100,100,100,100,100
448,DP Vijaykumar,100,100,100,100,100,100,100,100,100
449,SA Abbott,0,0,0,0,0,0,0,100,100
450,FH Edwards,0,100,100,100,100,100,100,100,100
451,TR Birt,0,0,0,100,100,100,100,100,100
452,MJ Guptill,0,0,0,0,0,0,0,0,100
453,Sunny Gupta,0,0,0,0,100,100,100,100,100
454,MS Wade,0,0,0,100,100,100,100,100,100
455,Mohammad Asif,100,100,100,100,100,100,100,100,100
456,Abdur Razzak,100,100,100,100,100,100,100,100,100
457,S Kaushik,0,0,0,0,0,0,0,0,100
458,V Shankar,0,0,0,0,0,0,100,100,100
459,JDS Neesham,0,0,0,0,0,0,100,100,100
460,SM Boland,0,0,0,0,0,0,0,0,100
461,C Ganapathy,0,0,100,100,100,100,100,100,100
462,HM Amla,0,0,0,0,0,0,0,0,100
463,JJ van der Wath,0,0,0,100,100,100,100,100,100
464,TD Paine,0,0,0,100,100,100,100,100,100
465,VH Zol,0,0,0,0,0,0,100,100,100
466,M Klinger,0,0,0,100,100,100,100,100,100
467,Shoaib Akhtar,100,100,100,100,100,100,100,100,100
468,MC Juneja,0,0,0,0,0,100,100,100,100
