,bowler,bowlerpresumoverall2008,bowlerpresumoverall2009,bowlerpresumoverall2010,bowlerpresumoverall2011,bowlerpresumoverall2012,bowlerpresumoverall2013,bowlerpresumoverall2014,bowlerpresumoverall2015,bowlerpresumoverall2016
271,Shoaib Malik,0,0,0,0,0,0,0,0,0
272,MB Parmar,0,0,0,0,0,0,0,0,0
273,T Shamsi,0,0,0,0,0,0,0,0,0
274,DNT Zoysa,0,0,0,0,0,0,0,0,0
275,P Suyal,0,0,0,0,0,0,0,0,0
276,Y Nagar,0,0,0,0,0,0,0,0,0
277,SN Thakur,0,0,0,0,0,0,0,0,0
278,FY Fazal,0,0,0,0,0,0,0,0,0
279,AA Kazi,0,0,0,0,0,0,0,0,0
280,GS Sandhu,0,0,0,0,0,0,0,0,0
281,Y Venugopal Rao,0,0,0,0,0,0,0,0,0
282,GH Vihari,0,0,0,0,0,0,0,0,0
283,MK Tiwary,0,0,0,0,0,0,0,0,0
284,SS Sarkar,0,0,0,0,0,0,0,0,0
285,A Uniyal,0,0,0,0,0,0,0,0,0
286,P Prasanth,0,0,0,0,0,0,0,0,0
287,K Upadhyay,0,0,0,0,0,0,0,0,0
288,PM Sarvesh Kumar,0,0,0,0,0,0,0,0,0
289,AA Jhunjhunwala,0,0,0,0,0,0,0,0,0
290,NJ Rimmington,0,0,0,0,0,0,0,0,0
291,MG Neser,0,0,0,0,0,0,0,0,0
292,RS Gavaskar,0,0,0,0,0,0,0,0,0
293,AP Dole,0,0,0,0,0,0,0,0,0
294,S Kaul,0,0,0,0,0,0,0,0,0
295,Shami Ahmed,0,0,0,0,0,0,0,0,0
296,DJ Hooda,0,0,0,0,0,0,0,0,0
297,S Vidyut,0,0,0,0,0,0,0,0,0
298,NL McCullum,0,0,0,0,0,0,0,0,0
299,D Salunkhe,0,0,0,0,0,0,0,0,0
300,DP Vijaykumar,0,0,0,0,0,0,0,0,0
301,V Kohli,0,0,0,0,0,0,0,0,0
302,Shoaib Ahmed,0,0,0,0,0,0,0,0,0
303,JM Kemp,0,0,0,0,0,0,0,0,0
304,SPD Smith,0,0,0,0,0,0,0,0,0
305,SA Abbott,0,0,0,0,0,0,0,0,0
306,L Ablish,0,0,0,0,0,0,0,0,0
307,Y Gnaneswara Rao,0,0,0,0,0,0,0,0,0
308,DL Chahar,0,0,0,0,0,0,0,0,0
309,S Rana,0,0,0,0,0,0,0,0,0
310,KS Williamson,0,0,0,0,0,0,0,0,0
311,S Narwal,0,0,0,0,0,0,0,0,0
312,Sunny Gupta,0,0,0,0,0,0,0,0,0
313,DB Ravi Teja,0,0,0,0,0,0,0,0,0
314,S Ladda,0,0,0,0,0,0,0,0,0
315,F du Plessis,0,0,0,0,0,0,0,0,0
316,KAJ Roach,0,0,0,0,0,0,0,0,0
317,RR Bhatkal,0,0,0,0,0,0,0,0,0
318,B Chipli,0,0,0,0,0,0,0,0,0
319,CK Kapugedera,0,0,0,0,0,0,0,0,0
320,JO Holder,0,0,0,0,0,0,0,0,0
321,A Mithun,0,0,0,0,0,0,0,0,0
322,Abdur Razzak,0,0,0,0,0,0,0,0,0
323,V Shankar,0,0,0,0,0,0,0,0,0
324,JDS Neesham,0,0,0,0,0,0,0,0,0
325,AC Voges,0,0,0,0,0,0,0,0,0
326,SM Boland,0,0,0,0,0,0,0,0,0
327,PJ Cummins,0,0,0,0,0,0,0,0,0
328,SR Tendulkar,0,0,0,0,0,0,0,0,0
329,C Ganapathy,0,0,0,0,0,0,0,0,0
330,CJ Anderson,0,0,0,0,0,0,0,0,0
331,JJ van der Wath,0,0,0,0,0,0,0,0,0
332,R Shukla,0,0,0,0,0,0,0,0,0
333,BJ Rohrer,0,0,0,0,0,0,0,0,0
