,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
32,I Sharma,4096,668,510,107,9,238,6,59,58,7.84
33,MG Johnson,4068,436,332,68,5,158,4,40,53,7.93
34,KA Pollard,3837,327,640,96,2,138,1,60,56,8.34
35,JP Faulkner,3753,363,454,109,5,134,1,57,53,8.39
36,Sandeep Sharma,3647,378,283,59,4,114,1,35,46,7.46
37,A Kumble,3619,374,430,64,3,73,4,35,45,6.66
38,RJ Harris,3525,364,282,62,6,121,3,27,45,7.53
39,Shakib Al Hasan,3337,332,421,60,1,72,1,42,43,7.05
40,SB Jakati,3312,333,489,84,7,95,2,59,47,7.98
41,CH Morris,3214,330,316,67,7,100,3,30,42,7.5
42,AR Patel,3170,331,454,66,3,84,1,47,43,7.42
43,S Aravind,3168,232,226,29,2,82,1,26,40,7.84
44,DE Bollinger,3122,254,213,34,2,75,3,19,38,7.16
45,R Sharma,3026,334,427,55,3,71,0,45,40,7.07
46,S Sreesanth,3003,399,312,57,4,131,5,39,41,7.75
47,Iqbal Abdulla,2847,325,411,49,4,85,1,34,38,7.07
48,P Awana,2844,293,279,56,2,107,2,34,39,8.09
49,YK Pathan,2775,382,551,56,4,94,1,54,40,7.26
50,MA Starc,2695,232,231,57,5,78,1,8,34,7.11
51,MC Henriques,2658,250,344,48,3,96,0,29,37,7.85
52,MJ McClenaghan,2607,246,240,30,3,86,1,31,35,7.95
53,KV Sharma,2546,286,387,54,3,63,0,64,37,8.0
54,Yuvraj Singh,2478,256,429,73,4,56,0,39,35,7.33
55,MS Gony,2410,344,327,49,4,134,0,52,37,8.49
56,KK Cooper,2406,184,266,63,0,61,3,23,33,7.89
57,JD Unadkat,2200,235,302,45,5,91,1,37,33,8.37
58,Azhar Mahmood,2124,199,226,33,1,71,4,18,29,7.68
59,MF Maharoof,2106,165,183,28,1,46,2,16,27,7.26
60,AD Russell,2063,228,253,39,4,93,2,32,31,8.47
61,A Singh,2061,189,165,44,1,69,1,17,28,7.89
62,DP Nannes,2058,285,251,36,8,92,2,15,28,7.12
63,Imran Tahir,2046,127,214,36,4,33,2,32,29,8.49
64,HV Patel,2031,231,272,52,0,90,2,35,31,8.43
65,S Nadeem,2015,338,500,65,6,71,1,46,31,7.09
66,DL Vettori,1991,270,368,54,2,67,0,24,28,6.85
67,WD Parnell,1979,241,220,38,1,84,6,11,27,7.3
68,VR Aaron,1969,286,290,38,7,114,3,37,31,8.37
69,NLTC Perera,1930,227,288,55,3,114,0,28,31,8.66
70,PJ Sangwan,1928,250,290,57,1,90,3,36,30,8.24
71,Sohail Tanvir,1922,121,95,15,0,27,0,7,22,6.24
72,Harmeet Singh,1871,201,234,45,0,69,3,22,27,7.83
73,PV Tambe,1866,204,318,58,1,64,1,28,28,7.72
74,M Kartik,1844,382,556,96,6,99,2,41,31,7.2
75,J Botha,1743,254,320,44,4,61,2,24,25,6.93
76,SW Tait,1680,200,211,32,1,72,6,12,24,7.51
77,AB Agarkar,1630,254,358,48,4,114,1,40,29,8.56
78,GB Hogg,1618,159,205,35,3,40,3,21,23,7.56
79,BW Hilfenhaus,1610,173,123,21,2,50,0,21,22,7.65
80,AD Mathews,1580,221,372,59,0,97,2,25,27,8.03
81,RE van der Merwe,1550,148,223,38,2,27,0,17,21,6.82
82,JJ Bumrah,1534,240,284,63,0,88,0,36,26,8.27
83,DR Smith,1524,151,200,36,0,62,2,24,24,8.52
84,NM Coulter-Nile,1523,177,135,20,2,58,2,14,21,7.46
85,B Lee,1509,374,319,69,2,122,5,25,25,7.39
86,JP Duminy,1501,228,327,45,0,51,2,30,23,7.15
